Year,Rank,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,First,Pts Won,Pts Max
2016,1,Stephen Curry,27,GSW,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,131,1310,1310
2016,2,Kawhi Leonard,24,SAS,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,0,634,1310
2016,3,LeBron James,31,CLE,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,0,631,1310
2016,4,Russell Westbrook,27,OKC,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,0,486,1310
2016,5,Kevin Durant,27,OKC,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,0,147,1310
2016,6,Chris Paul,30,LAC,74,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,0,107,1310
2016,7,Draymond Green,25,GSW,81,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,0,50,1310
2016,8,Damian Lillard,25,POR,75,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,0,26,1310
2016,9,James Harden,26,HOU,82,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,0,9,1310
2016,10,Kyle Lowry,29,TOR,77,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,0,6,1310
2015,1,Stephen Curry,26,GSW,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,100,1198,1300
2015,2,James Harden,25,HOU,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,25,936,1300
2015,3,LeBron James,30,CLE,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,5,552,1300
2015,4,Russell Westbrook,26,OKC,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,0,352,1300
2015,5,Anthony Davis,21,NOP,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,0,203,1300
2015,6,Chris Paul,29,LAC,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,0,124,1300
2015,7,LaMarcus Aldridge,29,POR,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,0,6,1300
2015,8T,Marc Gasol,30,MEM,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,0,3,1300
2015,8T,Blake Griffin,25,LAC,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,0,3,1300
2015,10T,Tim Duncan,38,SAS,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,0,1,1300
2015,10T,Kawhi Leonard,23,SAS,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,0,1,1300
2015,10T,Klay Thompson,24,GSW,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,0,1,1300
2014,1,Kevin Durant,25,OKC,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,119,1232,1250
2014,2,LeBron James,29,MIA,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,6,891,1250
2014,3,Blake Griffin,24,LAC,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,0,434,1250
2014,4,Joakim Noah,28,CHI,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,0,322,1250
2014,5,James Harden,24,HOU,73,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,0,85,1250
2014,6,Stephen Curry,25,GSW,78,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,0,66,1250
2014,7,Chris Paul,28,LAC,62,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,0,45,1250
2014,8,Al Jefferson,29,CHA,73,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,0,34,1250
2014,9,Paul George,23,IND,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,0,33,1250
